domain,prompt_idx,layer_idx,strength,seed,baseline_correct,perturbed_correct,flip,edit_distance,baseline_entropy,perturbed_entropy,baseline_margin,perturbed_margin,kl_divergence,model,paradigm,n_layers,layer_frac
math,20,2,0.01,2049,True,True,False,0.0,1.5465385913848877,1.620732665061951,3.3125,3.1875,0.0039386586286127,Qwen3-0.6B,transformer,28,0.074074074074074
math,21,2,0.01,2049,False,False,False,0.0,1.8663634061813357,1.6845533847808838,2.5,2.8125,0.0058482163585722,Qwen3-0.6B,transformer,28,0.074074074074074
math,22,2,0.01,2049,False,False,False,0.0,1.6358188390731812,1.4792629480361938,3.25,3.375,0.0034917371813207,Qwen3-0.6B,transformer,28,0.074074074074074
math,23,2,0.01,2049,True,True,False,0.0,1.583737015724182,1.6540991067886353,2.9375,3.0,0.0019586193375289,Qwen3-0.6B,transformer,28,0.074074074074074
factual,0,2,0.01,2049,False,True,True,0.9069767441860463,4.178260803222656,4.139633655548096,0.0625,0.5,0.0259552728384733,Qwen3-0.6B,transformer,28,0.074074074074074
factual,1,2,0.01,2049,True,True,False,0.0,0.7249804735183716,0.5676494240760803,2.5,2.625,0.00803785584867,Qwen3-0.6B,transformer,28,0.074074074074074
factual,2,2,0.01,2049,True,True,False,0.0,3.187028408050537,3.1302731037139893,1.125,1.375,0.0287188179790973,Qwen3-0.6B,transformer,28,0.074074074074074
factual,3,2,0.01,2049,False,False,False,0.0,3.6098031997680655,3.5314810276031494,0.5625,0.4375,0.0066131730563938,Qwen3-0.6B,transformer,28,0.074074074074074
factual,4,2,0.01,2049,False,False,False,0.0,0.4363479316234588,0.4028148949146271,2.375,2.5,0.0008180401637218,Qwen3-0.6B,transformer,28,0.074074074074074
factual,5,2,0.01,2049,True,True,False,0.0,2.9214439392089844,3.1454434394836426,1.25,0.8125,0.0264104977250099,Qwen3-0.6B,transformer,28,0.074074074074074
factual,6,2,0.01,2049,False,False,False,0.0,2.520190954208374,2.418936014175415,0.625,0.75,0.0130921974778175,Qwen3-0.6B,transformer,28,0.074074074074074
factual,7,2,0.01,2049,True,True,True,0.4594594594594595,1.08525550365448,1.2388975620269775,3.25,3.0,0.0057873236946761,Qwen3-0.6B,transformer,28,0.074074074074074
factual,8,2,0.01,2049,True,True,False,0.0,0.4281344413757324,0.3895589709281921,4.25,4.375,0.0005740039050579,Qwen3-0.6B,transformer,28,0.074074074074074
factual,9,2,0.01,2049,True,True,False,0.0,0.5116786360740662,0.6131182909011841,3.75,3.375,0.0037414086982607,Qwen3-0.6B,transformer,28,0.074074074074074
factual,10,2,0.01,2049,True,True,False,0.0,0.4718857109546661,0.4422599077224731,3.25,3.125,0.0017550432821735,Qwen3-0.6B,transformer,28,0.074074074074074
factual,11,2,0.01,2049,True,True,False,0.0,0.0200666580349206,0.0178970284759998,7.75,7.75,3.867605482810177e-05,Qwen3-0.6B,transformer,28,0.074074074074074
factual,12,2,0.01,2049,False,False,True,0.5869565217391305,4.563624858856201,4.4913201332092285,0.25,0.0625,0.0092154592275619,Qwen3-0.6B,transformer,28,0.074074074074074
factual,13,2,0.01,2049,False,False,False,0.0,5.635599136352539,5.641031742095947,0.5,0.4375,0.0034148155245929,Qwen3-0.6B,transformer,28,0.074074074074074
factual,14,2,0.01,2049,True,True,False,0.0,2.9557738304138184,2.9322469234466557,0.75,1.0,0.0164291858673095,Qwen3-0.6B,transformer,28,0.074074074074074
factual,15,2,0.01,2049,False,False,False,0.0,2.599925756454468,2.634666919708252,1.875,1.75,0.0031161997467279,Qwen3-0.6B,transformer,28,0.074074074074074
factual,16,2,0.01,2049,True,True,False,0.0,3.79303765296936,3.725457429885864,1.0625,1.0625,0.0033525330945849,Qwen3-0.6B,transformer,28,0.074074074074074
factual,17,2,0.01,2049,True,True,True,0.5714285714285714,0.8057312965393066,0.8594368696212769,2.125,2.0,0.001389444223605,Qwen3-0.6B,transformer,28,0.074074074074074
factual,18,2,0.01,2049,True,True,False,0.0,2.802187442779541,2.573518753051758,1.875,2.0,0.0104332854971289,Qwen3-0.6B,transformer,28,0.074074074074074
factual,19,2,0.01,2049,True,True,False,0.0,0.828798234462738,0.8832564949989319,3.8125,3.6875,0.0009985961951315,Qwen3-0.6B,transformer,28,0.074074074074074
factual,20,2,0.01,2049,True,True,False,0.0,0.5778858661651611,0.7211463451385498,3.375,3.0,0.0050497986376285,Qwen3-0.6B,transformer,28,0.074074074074074
factual,21,2,0.01,2049,False,False,False,0.0,4.222599983215332,4.101726531982422,0.0,0.0,0.0141066089272499,Qwen3-0.6B,transformer,28,0.074074074074074
factual,22,2,0.01,2049,True,True,True,0.6666666666666666,0.7830369472503662,0.6958848834037781,1.625,1.875,0.0047755828127264,Qwen3-0.6B,transformer,28,0.074074074074074
factual,23,2,0.01,2049,True,True,True,0.5319148936170213,1.2011793851852417,1.2152591943740845,3.25,3.25,0.0020049435552209,Qwen3-0.6B,transformer,28,0.074074074074074
math,0,2,0.02,42,True,True,False,0.0,1.1258488893508911,0.9747046828269958,3.625,3.8125,0.0072482414543628,Qwen3-0.6B,transformer,28,0.074074074074074
math,1,2,0.02,42,False,False,False,0.0,1.8502895832061768,1.6130925416946411,2.5,2.75,0.0093377362936735,Qwen3-0.6B,transformer,28,0.074074074074074
math,2,2,0.02,42,True,False,True,0.8846153846153846,2.4014651775360107,2.439947366714477,2.1875,2.125,0.0088126696646213,Qwen3-0.6B,transformer,28,0.074074074074074
math,3,2,0.02,42,True,True,False,0.0,1.8496735095977783,1.9464540481567385,3.0625,3.0625,0.004584006499499,Qwen3-0.6B,transformer,28,0.074074074074074
math,4,2,0.02,42,True,True,False,0.0,1.5937457084655762,1.6628063917160034,2.875,2.875,0.0173985455185174,Qwen3-0.6B,transformer,28,0.074074074074074
