model,paradigm,layer,layer_frac,d_model,PR,PR_over_d,effective_rank,ER_over_d,anisotropy
Mamba-2.8B,ssm,16,0.25,2560,12.456683021862483,0.004865891805415032,13.61159268431227,0.005317028392309481,0.4913479949065581
Mamba-2.8B,ssm,17,0.265625,2560,12.433490573848285,0.004856832255409486,13.623177271467393,0.00532155362166695,0.4853172132333168
Mamba-2.8B,ssm,18,0.28125,2560,11.999742702685422,0.004687399493236493,13.369140842692323,0.005222320641676688,0.4695717412707431
Mamba-2.8B,ssm,19,0.296875,2560,12.213580939005539,0.004770930054299039,13.48852487501941,0.005268955029304457,0.4589350533705005
Mamba-2.8B,ssm,20,0.3125,2560,12.532627449858708,0.004895557597601058,13.648815420449463,0.005331568523613071,0.46013539555966454
Mamba-2.8B,ssm,21,0.328125,2560,12.538856950453113,0.004897990996270747,13.64383561218552,0.005329623286009969,0.454181184032136
Mamba-2.8B,ssm,22,0.34375,2560,12.646627777378686,0.00494008897553855,13.696799145371823,0.005350312166160868,0.45855282565977845
Mamba-2.8B,ssm,23,0.359375,2560,12.672561788646824,0.004950219448690165,13.713125799237663,0.005356689765327212,0.4614390119796327
Mamba-2.8B,ssm,24,0.375,2560,12.784632619034326,0.004993997116810284,13.777462863895812,0.005381821431209301,0.4519454684592664
Mamba-2.8B,ssm,25,0.390625,2560,12.86734436291192,0.005026306391762469,13.835319806775535,0.005404421799521693,0.44079195412298755
