model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
mistralai/Mistral-Small-3.1-24B-Instruct-2503,transformer,mistral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.2843384911636493,4.972748835626153,24.01136128,93917.0
mistralai/Mixtral-8x22B-Instruct-v0.1,transformer,mixtral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.3769771444286709,4.030882953109667,140.630071296,10736.0
mistralai/Mixtral-8x7B-Instruct-v0.1,transformer,mixtral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.642891091264663,5.753720908277305,46.702792704,567179.0
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,transformer,nemotron,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.3587477052447561,4.230295613917047,70.553706496,16993.0
nvidia/Llama-3_1-Nemotron-51B-Instruct,transformer,nemotron,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.9873426314713902,3.5403294747908736,51.50101504,3469.0
openai/gpt-oss-20b,transformer,llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.85918630755023,6.742890100457927,21.511953984,5532100.0
tiiuae/Falcon-H1-34B-Base,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.633493810475867,3.162564406523019,33.642516224,1453.0
tiiuae/Falcon-H1-34B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.6376957249036361,3.1583624920952498,33.642516224,1439.0
tiiuae/Falcon3-10B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.6086808794633605,3.8677031332700977,10.30565376,7373.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,transformer,tinyllama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,2.5068864143055816,6.25261495294934,1.100048384,1789018.0
